檔案名,max累計水平距離,max累計爬升高度,max累計下降高度,max累計花費時間
HB桃山單.csv,10151.302509108422,1825.232492026518,1759.5714412786454,0 days 13:20:58
HB桃山單攻 (10).csv,10845.092822271134,2146.2537644317226,2143.5031035745005,0 days 11:21:49
HB桃山單攻 (11).csv,14682.395688582988,1669.3412469378886,1668.288476461792,0 days 10:12:41
HB桃山單攻 (12).csv,10447.450375362163,1623.5506072517762,1621.5715093045746,0 days 09:37:41
HB桃山單攻 (13).csv,8691.585966842998,1662.2843912919918,1570.858331971293,0 days 10:32:44
HB桃山單攻 (14).csv,11446.384472433987,1567.1086840121043,1576.0901836685694,0 days 11:19:35
HB桃山單攻 (15).csv,16984.582251752487,2435.8541284116595,2432.783120848939,0 days 10:01:08
HB桃山單攻 (16).csv,9518.32635000629,2458.2729982226037,2322.921425303477,0 days 09:58:14
HB桃山單攻 (17).csv,11293.638418783168,1535.4332188187443,1536.3642548849512,0 days 07:56:04
HB桃山單攻 (18).csv,13053.996787128062,1653.3042569610755,1639.943250619846,0 days 07:51:05
HB桃山單攻 (19).csv,12753.795427799221,2539.6295760148214,2539.6913423299056,0 days 10:35:22
HB桃山單攻 (2).csv,12207.260825499821,1839.8654380766018,1829.5275434065818,0 days 06:22:45
HB桃山單攻 (20).csv,10755.708474606567,1521.384346343396,1518.688223642287,0 days 09:50:56
HB桃山單攻 (21).csv,12296.551422920042,1733.8847474952759,1744.441197515248,0 days 09:12:58
HB桃山單攻 (22).csv,10430.550406994254,1613.3532479186795,1615.9738506531105,0 days 07:15:03
HB桃山單攻 (23).csv,10292.822199553828,1703.995779948894,1707.1884106230486,0 days 12:13:53
HB桃山單攻 (24).csv,10408.326325880538,1519.3277229401979,1530.8700265038315,0 days 10:05:28
HB桃山單攻 (25).csv,18220.965667407476,2044.2610557624505,2138.488560399036,0 days 09:52:08
HB桃山單攻 (26).csv,11251.778412722859,1849.0185668918793,1844.3676338711316,0 days 10:57:03
HB桃山單攻 (27).csv,11113.48960533459,1529.3858170357755,1534.5518630576794,0 days 11:43:14
HB桃山單攻 (28).csv,6083.891272259829,1988.1322277311078,614.0066075164666,0 days 04:45:28
HB桃山單攻 (29).csv,6085.134577656753,1614.3898092715117,174.10033579858305,0 days 05:15:26
HB桃山單攻 (3).csv,24518.640173216707,1608.2093562764135,1542.7818181610926,0 days 10:53:56
HB桃山單攻 (30).csv,11891.863400884877,1600.7384878483094,1606.1691192331102,0 days 10:56:40
HB桃山單攻 (31).csv,11425.86164589496,1674.3894864367408,1661.3452763073112,0 days 09:57:22
HB桃山單攻 (32).csv,14059.977358174023,1781.3445271173034,1777.969030188559,0 days 10:28:30
HB桃山單攻 (33).csv,12814.279884296293,2043.1632188630117,2046.0370693881341,0 days 11:11:46
HB桃山單攻 (34).csv,10713.50828824999,1523.0172360040708,1531.8269543672693,0 days 04:46:06
HB桃山單攻 (35).csv,10948.589576773751,1606.5931718611619,1607.973960893798,0 days 08:25:28
HB桃山單攻 (36).csv,10814.737629957257,1612.1755051981022,1607.9450741902788,0 days 10:51:24
HB桃山單攻 (37).csv,10814.737629957257,1612.1755051981022,1607.9450741902788,0 days 10:51:24
HB桃山單攻 (38).csv,10964.162059948347,2126.8086273240006,2132.1397241933673,0 days 09:19:03
HB桃山單攻 (39).csv,11370.324116814872,1922.1910422512274,1632.7938758875512,0 days 08:29:07
HB桃山單攻 (4).csv,12033.531298676737,1541.2023735972557,1534.4327928289765,0 days 11:03:52
HB桃山單攻 (40).csv,10782.741892057144,1709.8463477280663,1717.3499702757724,0 days 08:11:01
HB桃山單攻 (41).csv,9012.285771036117,1424.4738490690927,1424.2622117279006,0 days 06:32:40
HB桃山單攻 (42).csv,12227.970186524812,1659.8185147877375,1657.6889400490752,0 days 08:45:15
HB桃山單攻 (43).csv,12198.306171014992,2110.1461612894345,2100.6330602316984,0 days 11:33:20
HB桃山單攻 (44).csv,5035.53970571384,1508.442531527086,85.68498575778904,0 days 07:43:55
HB桃山單攻 (45).csv,5674.773147782531,856.1152310897173,923.1286628221453,0 days 10:01:22
HB桃山單攻 (46).csv,10492.027114848128,1806.4080770821233,1806.4078908897213,0 days 11:13:10
HB桃山單攻 (47).csv,11543.092736250714,1721.0413774582723,1720.3035179492065,0 days 11:34:25
HB桃山單攻 (48).csv,18253.032027151257,1786.5841223935095,1820.6366236735691,0 days 08:47:50
HB桃山單攻 (49).csv,11928.553694444205,1573.5599309592608,1576.063139253883,0 days 12:42:27
HB桃山單攻 (5).csv,10764.313023039707,1953.2654491750397,1907.3492986154467,0 days 11:22:50
HB桃山單攻 (50).csv,18594.166877184358,2367.0608307005805,2371.251637060195,0 days 12:25:00
HB桃山單攻 (51).csv,11388.664880522427,1628.670056152224,1610.6492801565623,0 days 11:16:15
HB桃山單攻 (6).csv,11040.257410950497,2018.3976660628155,1972.4815155032225,0 days 11:22:50
HB桃山單攻 (7).csv,9698.387192738996,1885.607950672997,1775.173098805947,0 days 12:10:06
